code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,stats,team_a,team_a_difficulty,team_a_score,team_h,team_h_difficulty,team_h_score
1059702,1,TRUE,TRUE,1,2019-08-09T19:00:00Z,90,FALSE,TRUE,"[{'h': [{'element': 183, 'value': 1}, {'element': 188, 'value': 1}, {'element': 191, 'value': 1}], 'identifier': 'goals_scored', 'a': [{'element': 278, 'value': 1}]}, {'h': [{'element': 182, 'value': 1}, {'element': 187, 'value': 1}, {'element': 188, 'value': 1}, {'element': 191, 'value': 1}], 'identifier': 'assists', 'a': [{'element': 283, 'value': 1}]}, {'h': [], 'identifier': 'own_goals', 'a': [{'element': 277, 'value': 1}]}, {'h': [], 'identifier': 'penalties_saved', 'a': []}, {'h': [], 'identifier': 'penalties_missed', 'a': []}, {'h': [], 'identifier': 'yellow_cards', 'a': [{'element': 283, 'value': 1}, {'element': 288, 'value': 1}]}, {'h': [], 'identifier': 'red_cards', 'a': []}, {'h': [{'element': 189, 'value': 2}, {'element': 526, 'value': 2}], 'identifier': 'saves', 'a': [{'element': 280, 'value': 4}]}, {'h': [{'element': 188, 'value': 3}, {'element': 191, 'value': 2}], 'identifier': 'bonus', 'a': [{'element': 278, 'value': 1}]}, {'h': [{'element': 188, 'value': 46}, {'element': 191, 'value': 40}, {'element': 183, 'value': 27}, {'element': 187, 'value': 26}, {'element': 182, 'value': 24}, {'element': 197, 'value': 18}, {'element': 181, 'value': 15}, {'element': 198, 'value': 12}, {'element': 199, 'value': 11}, {'element': 184, 'value': 10}, {'element': 189, 'value': 7}, {'element': 526, 'value': 7}, {'element': 192, 'value': 3}, {'element': 200, 'value': 3}], 'identifier': 'bps', 'a': [{'element': 278, 'value': 32}, {'element': 280, 'value': 19}, {'element': 273, 'value': 18}, {'element': 274, 'value': 16}, {'element': 283, 'value': 16}, {'element': 276, 'value': 15}, {'element': 286, 'value': 12}, {'element': 290, 'value': 11}, {'element': 287, 'value': 10}, {'element': 434, 'value': 3}, {'element': 277, 'value': 2}, {'element': 285, 'value': 1}, {'element': 288, 'value': -3}]}]",14,5,1,10,2,4
1059709,1,TRUE,TRUE,8,2019-08-10T11:30:00Z,90,FALSE,TRUE,"[{'h': [], 'identifier': 'goals_scored', 'a': [{'element': 214, 'value': 3}, {'element': 210, 'value': 1}, {'element': 211, 'value': 1}]}, {'h': [], 'identifier': 'assists', 'a': [{'element': 217, 'value': 3}, {'element': 203, 'value': 1}, {'element': 215, 'value': 1}]}, {'h': [], 'identifier': 'own_goals', 'a': []}, {'h': [], 'identifier': 'penalties_saved', 'a': []}, {'h': [], 'identifier': 'penalties_missed', 'a': []}, {'h': [{'element': 382, 'value': 1}, {'element': 390, 'value': 1}], 'identifier': 'yellow_cards', 'a': [{'element': 203, 'value': 1}, {'element': 214, 'value': 1}]}, {'h': [], 'identifier': 'red_cards', 'a': []}, {'h': [{'element': 388, 'value': 4}], 'identifier': 'saves', 'a': [{'element': 212, 'value': 3}]}, {'h': [], 'identifier': 'bonus', 'a': [{'element': 214, 'value': 3}, {'element': 217, 'value': 2}, {'element': 215, 'value': 1}]}, {'h': [{'element': 388, 'value': 18}, {'element': 391, 'value': 16}, {'element': 395, 'value': 15}, {'element': 457, 'value': 15}, {'element': 380, 'value': 11}, {'element': 376, 'value': 7}, {'element': 393, 'value': 7}, {'element': 382, 'value': 6}, {'element': 381, 'value': 3}, {'element': 394, 'value': 3}, {'element': 399, 'value': 3}, {'element': 389, 'value': 2}, {'element': 386, 'value': -2}], 'identifier': 'bps', 'a': [{'element': 214, 'value': 55}, {'element': 217, 'value': 45}, {'element': 215, 'value': 37}, {'element': 203, 'value': 33}, {'element': 207, 'value': 33}, {'element': 211, 'value': 31}, {'element': 210, 'value': 27}, {'element': 202, 'value': 26}, {'element': 206, 'value': 26}, {'element': 212, 'value': 26}, {'element': 443, 'value': 15}, {'element': 219, 'value': 11}, {'element': 220, 'value': 3}, {'element': 222, 'value': 3}]}]",11,3,5,19,4,0
1059703,1,TRUE,TRUE,2,2019-08-10T14:00:00Z,90,FALSE,TRUE,"[{'h': [{'element': 61, 'value': 1}], 'identifier': 'goals_scored', 'a': [{'element': 298, 'value': 1}]}, {'h': [{'element': 67, 'value': 1}], 'identifier': 'assists', 'a': []}, {'h': [], 'identifier': 'own_goals', 'a': []}, {'h': [], 'identifier': 'penalties_saved', 'a': []}, {'h': [], 'identifier': 'penalties_missed', 'a': []}, {'h': [{'element': 63, 'value': 1}, {'element': 75, 'value': 1}], 'identifier': 'yellow_cards', 'a': [{'element': 301, 'value': 1}]}, {'h': [], 'identifier': 'red_cards', 'a': []}, {'h': [{'element': 494, 'value': 2}], 'identifier': 'saves', 'a': [{'element': 471, 'value': 2}]}, {'h': [{'element': 61, 'value': 2}], 'identifier': 'bonus', 'a': [{'element': 298, 'value': 3}, {'element': 297, 'value': 1}]}, {'h': [{'element': 61, 'value': 24}, {'element': 59, 'value': 19}, {'element': 476, 'value': 15}, {'element': 65, 'value': 13}, {'element': 82, 'value': 13}, {'element': 58, 'value': 12}, {'element': 494, 'value': 11}, {'element': 63, 'value': 10}, {'element': 67, 'value': 10}, {'element': 68, 'value': 6}, {'element': 69, 'value': 3}], 'identifier': 'bps', 'a': [{'element': 298, 'value': 26}, {'element': 297, 'value': 20}, {'element': 295, 'value': 16}, {'element': 302, 'value': 16}, {'element': 293, 'value': 12}, {'element': 471, 'value': 12}, {'element': 291, 'value': 11}, {'element': 301, 'value': 9}, {'element': 423, 'value': 9}, {'element': 441, 'value': 3}, {'element': 501, 'value': 3}, {'element': 453, 'value': 2}, {'element': 294, 'value': 1}]}]",15,3,1,3,2,1
1059704,1,TRUE,TRUE,3,2019-08-10T14:00:00Z,90,FALSE,TRUE,"[{'h': [{'element': 90, 'value': 2}, {'element': 96, 'value': 1}], 'identifier': 'goals_scored', 'a': []}, {'h': [{'element': 447, 'value': 2}], 'identifier': 'assists', 'a': []}, {'h': [], 'identifier': 'own_goals', 'a': []}, {'h': [], 'identifier': 'penalties_saved', 'a': []}, {'h': [], 'identifier': 'penalties_missed', 'a': []}, {'h': [], 'identifier': 'yellow_cards', 'a': []}, {'h': [], 'identifier': 'red_cards', 'a': []}, {'h': [{'element': 93, 'value': 3}], 'identifier': 'saves', 'a': [{'element': 319, 'value': 1}]}, {'h': [{'element': 90, 'value': 3}, {'element': 447, 'value': 2}, {'element': 93, 'value': 1}, {'element': 96, 'value': 1}], 'identifier': 'bonus', 'a': []}, {'h': [{'element': 90, 'value': 58}, {'element': 447, 'value': 43}, {'element': 93, 'value': 28}, {'element': 96, 'value': 28}, {'element': 83, 'value': 27}, {'element': 84, 'value': 23}, {'element': 85, 'value': 23}, {'element': 97, 'value': 15}, {'element': 102, 'value': 10}, {'element': 101, 'value': 7}, {'element': 430, 'value': 3}, {'element': 451, 'value': 2}, {'element': 91, 'value': -1}], 'identifier': 'bps', 'a': [{'element': 304, 'value': 13}, {'element': 307, 'value': 13}, {'element': 308, 'value': 10}, {'element': 319, 'value': 10}, {'element': 321, 'value': 10}, {'element': 305, 'value': 8}, {'element': 313, 'value': 8}, {'element': 328, 'value': 8}, {'element': 320, 'value': 7}, {'element': 306, 'value': 5}, {'element': 325, 'value': 2}, {'element': 508, 'value': 2}, {'element': 437, 'value': -5}]}]",16,2,0,5,2,3
1059705,1,TRUE,TRUE,4,2019-08-10T14:00:00Z,90,FALSE,TRUE,"[{'h': [], 'identifier': 'goals_scored', 'a': []}, {'h': [], 'identifier': 'assists', 'a': []}, {'h': [], 'identifier': 'own_goals', 'a': []}, {'h': [], 'identifier': 'penalties_saved', 'a': []}, {'h': [], 'identifier': 'penalties_missed', 'a': []}, {'h': [{'element': 134, 'value': 1}, {'element': 136, 'value': 1}], 'identifier': 'yellow_cards', 'a': [{'element': 152, 'value': 1}]}, {'h': [], 'identifier': 'red_cards', 'a': [{'element': 158, 'value': 1}]}, {'h': [{'element': 131, 'value': 2}], 'identifier': 'saves', 'a': [{'element': 148, 'value': 2}]}, {'h': [], 'identifier': 'bonus', 'a': [{'element': 142, 'value': 3}, {'element': 143, 'value': 2}, {'element': 148, 'value': 1}]}, {'h': [{'element': 128, 'value': 24}, {'element': 131, 'value': 24}, {'element': 126, 'value': 23}, {'element': 123, 'value': 20}, {'element': 127, 'value': 20}, {'element': 138, 'value': 15}, {'element': 135, 'value': 14}, {'element': 129, 'value': 9}, {'element': 468, 'value': 8}, {'element': 136, 'value': 5}, {'element': 130, 'value': 1}, {'element': 133, 'value': 1}, {'element': 134, 'value': -2}], 'identifier': 'bps', 'a': [{'element': 142, 'value': 32}, {'element': 143, 'value': 26}, {'element': 148, 'value': 25}, {'element': 144, 'value': 20}, {'element': 141, 'value': 17}, {'element': 150, 'value': 7}, {'element': 422, 'value': 6}, {'element': 497, 'value': 6}, {'element': 147, 'value': 5}, {'element': 152, 'value': 4}, {'element': 496, 'value': 4}, {'element': 151, 'value': 3}, {'element': 154, 'value': 2}, {'element': 158, 'value': 1}]}]",8,2,0,7,2,0
1059708,1,TRUE,TRUE,7,2019-08-10T14:00:00Z,90,FALSE,TRUE,"[{'h': [], 'identifier': 'goals_scored', 'a': [{'element': 46, 'value': 1}, {'element': 502, 'value': 1}]}, {'h': [], 'identifier': 'assists', 'a': [{'element': 42, 'value': 1}, {'element': 49, 'value': 1}, {'element': 54, 'value': 1}]}, {'h': [{'element': 368, 'value': 1}], 'identifier': 'own_goals', 'a': []}, {'h': [], 'identifier': 'penalties_saved', 'a': []}, {'h': [], 'identifier': 'penalties_missed', 'a': []}, {'h': [], 'identifier': 'yellow_cards', 'a': [{'element': 42, 'value': 1}]}, {'h': [], 'identifier': 'red_cards', 'a': []}, {'h': [{'element': 366, 'value': 1}], 'identifier': 'saves', 'a': [{'element': 47, 'value': 3}]}, {'h': [], 'identifier': 'bonus', 'a': [{'element': 42, 'value': 3}, {'element': 47, 'value': 2}, {'element': 46, 'value': 1}, {'element': 502, 'value': 1}]}, {'h': [{'element': 357, 'value': 16}, {'element': 439, 'value': 13}, {'element': 358, 'value': 10}, {'element': 366, 'value': 9}, {'element': 353, 'value': 7}, {'element': 368, 'value': 7}, {'element': 373, 'value': 7}, {'element': 362, 'value': 6}, {'element': 364, 'value': 3}, {'element': 369, 'value': 3}, {'element': 363, 'value': 1}, {'element': 365, 'value': 1}, {'element': 370, 'value': 1}], 'identifier': 'bps', 'a': [{'element': 42, 'value': 41}, {'element': 47, 'value': 29}, {'element': 46, 'value': 27}, {'element': 502, 'value': 27}, {'element': 37, 'value': 26}, {'element': 54, 'value': 26}, {'element': 475, 'value': 23}, {'element': 38, 'value': 21}, {'element': 49, 'value': 16}, {'element': 55, 'value': 15}, {'element': 57, 'value': 11}, {'element': 45, 'value': 8}, {'element': 39, 'value': 3}]}]",4,3,3,18,2,0
1059707,1,TRUE,TRUE,6,2019-08-10T16:30:00Z,90,FALSE,TRUE,"[{'h': [{'element': 338, 'value': 2}, {'element': 442, 'value': 1}], 'identifier': 'goals_scored', 'a': [{'element': 31, 'value': 1}]}, {'h': [{'element': 345, 'value': 1}, {'element': 349, 'value': 1}], 'identifier': 'assists', 'a': [{'element': 445, 'value': 1}]}, {'h': [], 'identifier': 'own_goals', 'a': []}, {'h': [], 'identifier': 'penalties_saved', 'a': []}, {'h': [], 'identifier': 'penalties_missed', 'a': []}, {'h': [{'element': 346, 'value': 1}], 'identifier': 'yellow_cards', 'a': []}, {'h': [], 'identifier': 'red_cards', 'a': []}, {'h': [{'element': 340, 'value': 3}], 'identifier': 'saves', 'a': [{'element': 94, 'value': 3}]}, {'h': [{'element': 338, 'value': 3}, {'element': 442, 'value': 1}], 'identifier': 'bonus', 'a': [{'element': 445, 'value': 2}]}, {'h': [{'element': 338, 'value': 50}, {'element': 442, 'value': 26}, {'element': 337, 'value': 20}, {'element': 345, 'value': 19}, {'element': 331, 'value': 17}, {'element': 346, 'value': 15}, {'element': 333, 'value': 14}, {'element': 347, 'value': 14}, {'element': 332, 'value': 13}, {'element': 340, 'value': 13}, {'element': 349, 'value': 13}, {'element': 343, 'value': 10}, {'element': 352, 'value': 3}, {'element': 527, 'value': 3}], 'identifier': 'bps', 'a': [{'element': 445, 'value': 31}, {'element': 31, 'value': 23}, {'element': 29, 'value': 22}, {'element': 94, 'value': 15}, {'element': 24, 'value': 13}, {'element': 28, 'value': 12}, {'element': 455, 'value': 12}, {'element': 22, 'value': 10}, {'element': 26, 'value': 4}, {'element': 465, 'value': 4}, {'element': 470, 'value': 3}, {'element': 428, 'value': 2}, {'element': 36, 'value': 1}]}]",2,4,1,17,2,3
1059706,1,TRUE,TRUE,5,2019-08-11T13:00:00Z,90,FALSE,TRUE,"[{'h': [], 'identifier': 'goals_scored', 'a': []}, {'h': [], 'identifier': 'assists', 'a': []}, {'h': [], 'identifier': 'own_goals', 'a': []}, {'h': [], 'identifier': 'penalties_saved', 'a': []}, {'h': [], 'identifier': 'penalties_missed', 'a': []}, {'h': [], 'identifier': 'yellow_cards', 'a': [{'element': 402, 'value': 1}, {'element': 414, 'value': 1}]}, {'h': [], 'identifier': 'red_cards', 'a': []}, {'h': [{'element': 168, 'value': 2}], 'identifier': 'saves', 'a': [{'element': 411, 'value': 1}]}, {'h': [{'element': 159, 'value': 3}, {'element': 162, 'value': 1}], 'identifier': 'bonus', 'a': [{'element': 405, 'value': 3}]}, {'h': [{'element': 159, 'value': 32}, {'element': 162, 'value': 30}, {'element': 164, 'value': 29}, {'element': 161, 'value': 23}, {'element': 168, 'value': 23}, {'element': 448, 'value': 21}, {'element': 176, 'value': 15}, {'element': 180, 'value': 15}, {'element': 171, 'value': 9}, {'element': 265, 'value': 7}, {'element': 166, 'value': 5}, {'element': 172, 'value': 3}, {'element': 174, 'value': 2}], 'identifier': 'bps', 'a': [{'element': 405, 'value': 32}, {'element': 411, 'value': 23}, {'element': 404, 'value': 22}, {'element': 403, 'value': 20}, {'element': 402, 'value': 18}, {'element': 401, 'value': 16}, {'element': 420, 'value': 13}, {'element': 415, 'value': 11}, {'element': 409, 'value': 10}, {'element': 414, 'value': 10}, {'element': 410, 'value': 4}, {'element': 407, 'value': 3}, {'element': 487, 'value': -1}]}]",20,3,0,9,3,0
1059711,1,TRUE,TRUE,10,2019-08-11T13:00:00Z,90,FALSE,TRUE,"[{'h': [], 'identifier': 'goals_scored', 'a': [{'element': 11, 'value': 1}]}, {'h': [], 'identifier': 'assists', 'a': [{'element': 4, 'value': 1}]}, {'h': [], 'identifier': 'own_goals', 'a': []}, {'h': [], 'identifier': 'penalties_saved', 'a': []}, {'h': [], 'identifier': 'penalties_missed', 'a': []}, {'h': [{'element': 266, 'value': 1}], 'identifier': 'yellow_cards', 'a': [{'element': 16, 'value': 1}, {'element': 18, 'value': 1}, {'element': 489, 'value': 1}]}, {'h': [], 'identifier': 'red_cards', 'a': []}, {'h': [{'element': 262, 'value': 1}], 'identifier': 'saves', 'a': [{'element': 14, 'value': 2}]}, {'h': [], 'identifier': 'bonus', 'a': [{'element': 4, 'value': 3}, {'element': 5, 'value': 2}, {'element': 6, 'value': 1}, {'element': 14, 'value': 1}]}, {'h': [{'element': 255, 'value': 24}, {'element': 271, 'value': 20}, {'element': 466, 'value': 15}, {'element': 251, 'value': 14}, {'element': 258, 'value': 13}, {'element': 252, 'value': 12}, {'element': 256, 'value': 10}, {'element': 262, 'value': 9}, {'element': 270, 'value': 8}, {'element': 498, 'value': 6}, {'element': 269, 'value': 4}, {'element': 266, 'value': 2}, {'element': 500, 'value': 2}], 'identifier': 'bps', 'a': [{'element': 4, 'value': 38}, {'element': 5, 'value': 28}, {'element': 6, 'value': 27}, {'element': 14, 'value': 27}, {'element': 467, 'value': 26}, {'element': 11, 'value': 25}, {'element': 21, 'value': 15}, {'element': 18, 'value': 11}, {'element': 489, 'value': 10}, {'element': 490, 'value': 6}, {'element': 469, 'value': 3}, {'element': 488, 'value': 2}, {'element': 504, 'value': 2}]}]",1,3,1,13,4,0
1059710,1,TRUE,TRUE,9,2019-08-11T15:30:00Z,90,FALSE,TRUE,"[{'h': [{'element': 233, 'value': 2}, {'element': 239, 'value': 1}, {'element': 243, 'value': 1}], 'identifier': 'goals_scored', 'a': []}, {'h': [{'element': 238, 'value': 2}, {'element': 246, 'value': 1}], 'identifier': 'assists', 'a': []}, {'h': [], 'identifier': 'own_goals', 'a': []}, {'h': [], 'identifier': 'penalties_saved', 'a': []}, {'h': [], 'identifier': 'penalties_missed', 'a': []}, {'h': [{'element': 225, 'value': 1}, {'element': 239, 'value': 1}, {'element': 241, 'value': 1}], 'identifier': 'yellow_cards', 'a': [{'element': 118, 'value': 1}, {'element': 119, 'value': 1}, {'element': 459, 'value': 1}, {'element': 460, 'value': 1}]}, {'h': [], 'identifier': 'red_cards', 'a': []}, {'h': [{'element': 235, 'value': 7}], 'identifier': 'saves', 'a': [{'element': 111, 'value': 1}]}, {'h': [{'element': 233, 'value': 3}, {'element': 122, 'value': 2}, {'element': 235, 'value': 2}], 'identifier': 'bonus', 'a': []}, {'h': [{'element': 233, 'value': 53}, {'element': 122, 'value': 34}, {'element': 235, 'value': 34}, {'element': 238, 'value': 30}, {'element': 160, 'value': 29}, {'element': 226, 'value': 27}, {'element': 225, 'value': 24}, {'element': 246, 'value': 22}, {'element': 243, 'value': 21}, {'element': 239, 'value': 19}, {'element': 248, 'value': 11}, {'element': 234, 'value': 3}, {'element': 242, 'value': 3}, {'element': 241, 'value': 2}], 'identifier': 'bps', 'a': [{'element': 432, 'value': 22}, {'element': 114, 'value': 18}, {'element': 108, 'value': 16}, {'element': 463, 'value': 15}, {'element': 118, 'value': 10}, {'element': 105, 'value': 9}, {'element': 111, 'value': 9}, {'element': 107, 'value': 8}, {'element': 431, 'value': 4}, {'element': 110, 'value': 2}, {'element': 117, 'value': 1}, {'element': 459, 'value': 1}, {'element': 460, 'value': 1}, {'element': 119, 'value': -1}]}]",6,4,0,12,4,4
